,varied_param,step_index,param_measured,index_name,true_value,est_mean,hdi_lo,hdi_hi,divergences
152,delta_alpha_group_entity,0,delta_alpha_group_entity,"delta_alpha_group_entity[NH, object]",0.0,-0.069,-0.355,0.212,44
153,delta_alpha_group_entity,0,delta_alpha_group_entity,"delta_alpha_group_entity[NH, human]",0.0,0.116,-0.165,0.411,44
154,delta_alpha_group_entity,0,delta_alpha_group_entity,"delta_alpha_group_entity[PH, object]",0.0,-0.034,-0.316,0.27,44
155,delta_alpha_group_entity,0,delta_alpha_group_entity,"delta_alpha_group_entity[PH, human]",0.0,0.028,-0.263,0.334,44
156,delta_alpha_group_entity,0,delta_beta_group_entity,"delta_beta_group_entity[NH, object]",0.0,-0.023,-0.167,0.132,44
157,delta_alpha_group_entity,0,delta_beta_group_entity,"delta_beta_group_entity[NH, human]",0.0,-0.106,-0.257,0.049,44
158,delta_alpha_group_entity,0,delta_beta_group_entity,"delta_beta_group_entity[PH, object]",0.0,-0.046,-0.189,0.1,44
159,delta_alpha_group_entity,0,delta_beta_group_entity,"delta_beta_group_entity[PH, human]",0.0,-0.077,-0.221,0.053,44
160,delta_alpha_group_entity,1,alpha_group_mu,alpha_group_mu[NH],1.0,1.018,0.741,1.337,114
161,delta_alpha_group_entity,1,alpha_group_mu,alpha_group_mu[PH],1.0,0.944,0.686,1.199,114
162,delta_alpha_group_entity,1,alpha_group_sigma,alpha_group_sigma[NH],0.1,0.085,0.011,0.147,114
163,delta_alpha_group_entity,1,alpha_group_sigma,alpha_group_sigma[PH],0.1,0.086,0.024,0.146,114
164,delta_alpha_group_entity,1,beta_group_mu,beta_group_mu[NH],0.5,0.527,0.402,0.655,114
165,delta_alpha_group_entity,1,beta_group_mu,beta_group_mu[PH],0.5,0.605,0.423,0.737,114
166,delta_alpha_group_entity,1,beta_group_sigma,beta_group_sigma[NH],0.05,0.045,0.01,0.074,114
167,delta_alpha_group_entity,1,beta_group_sigma,beta_group_sigma[PH],0.05,0.058,0.021,0.091,114
168,delta_alpha_group_entity,1,delta_alpha_group_entity,"delta_alpha_group_entity[NH, object]",0.2,0.067,-0.225,0.401,114
